stock_id:ID(Stock),name,:LABEL
603012,创力集团,Stock
603156,养元饮品,Stock
603506,南都物业,Stock
603855,华荣股份,Stock
600280,*ST中商,Stock
300626,华瑞股份,Stock
000673,*ST当代,Stock
300276,三丰智能,Stock
000736,中交地产,Stock
300299,富春股份,Stock
300333,兆日科技,Stock
900912,外高B股,Stock
600795,国电电力,Stock
603013,亚普股份,Stock
002072,*ST凯瑞,Stock
600146,*ST环球,Stock
002588,史丹利,Stock
002422,科伦药业,Stock
600516,方大炭素,Stock
603290,斯达半导,Stock
600845,宝信软件,Stock
600900,长江电力,Stock
000809,铁岭新城,Stock
600003,ST东北高,Stock
002137,实益达,Stock
002567,唐人神,Stock
601995,中金公司,Stock
300221,银禧科技,Stock
600687,退市刚泰,Stock
002249,大洋电机,Stock
300671,富满电子,Stock
002619,艾格拉斯,Stock
200513,丽珠B,Stock
603551,奥普家居,Stock
603101,汇嘉时代,Stock
600238,海南椰岛,Stock
300364,中文在线,Stock
900945,*ST海航B,Stock
600668,尖峰集团,Stock
600392,盛和资源,Stock
000761,本钢板材,Stock
603697,有友食品,Stock
601700,风范股份,Stock
600812,华北制药,Stock
002475,立讯精密,Stock
600111,北方稀土,Stock
000018,神城A退,Stock
002025,航天电器,Stock
002530,金财互联,Stock
300558,贝达药业,Stock
002160,常铝股份,Stock
300108,吉药控股,Stock
600054,黄山旅游,Stock
603228,景旺电子,Stock
002863,今飞凯达,Stock
603678,火炬电子,Stock
603117,万林物流,Stock
200505,京粮B,Stock
000632,三木集团,Stock
300667,必创科技,Stock
000798,中水渔业,Stock
600691,阳煤化工,Stock
300237,美晨生态,Stock
000777,中核科技,Stock
300722,新余国科,Stock
900953,凯马B,Stock
300372,欣泰退,Stock
300688,创业黑马,Stock
601595,上海电影,Stock
002033,丽江股份,Stock
600107,美尔雅,Stock
002463,沪电股份,Stock
002199,东晶电子,Stock
600557,康缘药业,Stock
600804,鹏博士,Stock
603681,永冠新材,Stock
002875,安奈儿,Stock
000848,承德露露,Stock
002176,江特电机,Stock
002526,山东矿机,Stock
002208,合肥城建,Stock
300260,新莱应材,Stock
000665,湖北广电,Stock
002658,雪迪龙,Stock
300630,普利制药,Stock
600296,S兰铝,Stock
603843,正平股份,Stock
601038,一拖股份,Stock
603005,晶方科技,Stock
600279,重庆港九,Stock
900904,神奇B股,Stock
600783,鲁信创投,Stock
300325,ST德威,Stock
600629,华建集团,Stock
603906,龙蟠科技,Stock
000720,新能泰山,Stock
601311,骆驼股份,Stock
600853,龙建股份,Stock
603286,日盈电子,Stock
600500,中化国际,Stock
002434,万里扬,Stock
000409,山东地矿,Stock
600150,中国船舶,Stock
002064,华峰化学,Stock
000059,华锦股份,Stock
300519,新光药业,Stock
002571,德力股份,Stock
300149,睿智医药,Stock
002121,*ST科陆,Stock
600015,华夏银行,Stock
603269,海鸥股份,Stock
002822,中装建设,Stock
600916,中国黄金,Stock
603639,海利尔,Stock
600202,哈空调,Stock
002336,ST人乐,Stock
600652,ST游久,Stock
002766,*ST索菱,Stock
603992,松霖科技,Stock
002273,水晶光电,Stock
002789,建艺集团,Stock
002623,亚玛顿,Stock
600717,天津港,Stock
603838,四通股份,Stock
601106,中国一重,Stock
000537,广宇发展,Stock
300562,乐心医疗,Stock
300098,高新兴,Stock
600594,益佰制药,Stock
300132,青松股份,Stock
603212,赛伍技术,Stock
002859,洁美科技,Stock
603357,设计总院,Stock
600982,宁波能源,Stock
600828,茂业商业,Stock
603707,健友股份,Stock
000921,海信家电,Stock
300427,红相股份,Stock
600081,东风科技,Stock
000022,深赤湾A,Stock
300077,国民技术,Stock
002731,萃华珠宝,Stock
600605,汇通能源,Stock
900928,临港B股,Stock
603880,南卫股份,Stock
300309,吉艾科技,Stock
002361,神剑股份,Stock
600255,鑫科材料,Stock
603029,天鹅股份,Stock
603183,建研院,Stock
603496,恒为科技,Stock
600740,山西焦化,Stock
002674,兴业科技,Stock
600310,桂东电力,Stock
002224,三力士,Stock
603615,茶花股份,Stock
601628,中国人寿,Stock
000833,粤桂股份,Stock
000999,华润三九,Stock
600890,*ST中房,Stock
600039,四川路桥,Stock
300165,天瑞仪器,Stock
600469,风神股份,Stock
000560,我爱我家,Stock
300535,达威股份,Stock
600193,ST创兴,Stock
002048,宁波华翔,Stock
600486,扬农化工,Stock
300020,银江股份,Stock
002418,*ST康盛,Stock
000425,徐工机械,Stock
300470,中密控股,Stock
000976,华铁股份,Stock
603300,华铁应急,Stock
603195,公牛集团,Stock
601002,晋亿实业,Stock
600243,*ST海华,Stock
002377,国创高新,Stock
603896,寿仙谷,Stock
601901,方正证券,Stock
600613,神奇制药,Stock
002727,一心堂,Stock
002232,启明信息,Stock
600306,*ST商城,Stock
002662,京威股份,Stock
603879,永悦科技,Stock
600756,浪潮软件,Stock
002398,垒知集团,Stock
600185,格力地产,Stock
300523,辰安科技,Stock
000576,甘化科工,Stock
300173,福能东方,Stock
300489,中飞股份,Stock
600886,国投电力,Stock
000825,太钢不锈,Stock
002818,富森美,Stock
603603,博天环境,Stock
603316,诚邦股份,Stock
600869,远东股份,Stock
000960,锡业股份,Stock
300466,赛摩智能,Stock
000599,青岛双星,Stock
300036,超图软件,Stock
600490,鹏欣资源,Stock
000063,中兴通讯,Stock
002770,ST科迪,Stock
300718,长盛轴承,Stock
601956,东贝集团,Stock
600644,乐山电力,Stock
002320,海峡股份,Stock
300348,长亮科技,Stock
603068,博通集成,Stock
603087,甘李药业,Stock
600701,退市工新,Stock
002635,安洁科技,Stock
000608,阳光股份,Stock
600351,亚宝药业,Stock
002265,西仪股份,Stock
601669,中国电建,Stock
600078,澄星股份,Stock
300124,汇川技术,Stock
600582,天地科技,Stock
600428,中远海特,Stock
000521,长虹美菱,Stock
300061,旗天科技,Stock
000034,神州数码,Stock
002009,天奇股份,Stock
600097,开创国际,Stock
300431,暴风退,Stock
002459,晶澳科技,Stock
000937,冀中能源,Stock
603711,香飘飘,Stock
601686,友发集团,Stock
603336,宏辉果蔬,Stock
603766,隆鑫通用,Stock
300446,ST乐凯,Stock
000413,东旭光电,Stock
002584,西陇科学,Stock
300016,北陆药业,Stock
000043,中航善达,Stock
300503,昊志机电,Stock
000556,PT南洋,Stock
002091,江苏国泰,Stock
300153,科泰电源,Stock
603789,星光农机,Stock
002838,道恩股份,Stock
000805,*ST炎黄,Stock
002212,天融信,Stock
600326,西藏天路,Stock
